"Bulan, Tahun",Jumlah Perusahaan,Volume (Juta Saham),Nilai (Milyar Rp),Indeks Harga Saham Komposit
2020-01-01,674,164351,140067,5940.05
2020-02-01,680,122322,131392,5452.7
2020-03-01,685,143293,166004,4538.93
2020-04-01,690,158484,143486,4716.4
2020-05-01,691,137187,157169,4753.61
2020-06-01,692,198152,189655,4905.39
2020-07-01,697,206979,169543,5149.63
2020-08-01,700,217089,172830,6073.87
2020-09-01,709,242612,170705,4870.04
2020-10-01,709,222994,161388,5128.23
2020-11-01,708,415152,276428,5612.42
2020-12-01,713,523856,350131,5979.07
2021-01-01,716,472372,410267,5862.35
2021-02-01,720,351919,296230,6241.8
2021-03-01,724,386117,262571,5985.52
2021-04-01,728,317816,198177,5995.62
2021-05-01,729,283957,186755,5947.46
2021-06-01,735,438843,254923,5985.49
2021-07-01,739,372062,241219,6070.04
2021-08-01,740,466052,275006,6150.3
2021-09-01,750,488726,276621,6286.94
2021-10-01,751,473377,340408,6591.35
2021-11-01,755,520665,289277,6533.93
2021-12-01,766,524544,271478,6581.48
2022-01-01,771,415148,256484,6631.15
2022-02-01,774,442341,248751,6888.17
2022-03-01,778,534785,375567,7071.44
2022-04-01,785,482975,356509,7228.91
2022-05-01,787,330610,281786,7148.97
2022-06-01,787,539737,348269,6911.58
2022-07-01,795,454071,246225,6951.12
2022-08-01,809,574001,310262,7178.59
2022-09-01,810,649089,345530,7040.8
2022-10-01,810,483440,272708,7098.89
2022-11-01,820,443586,286100,7081.31
2022-12-01,825,536080,289705,6850.62
2023-01-01,835,384617,216200,6839.34
2023-02-01,845,379833,196432,6843.24
2023-03-01,853,363778,214133,6805.28
2023-04-01,858,218528,154178,6915.72
2023-05-01,864,451603,234591,6633.26
2023-06-01,868,312812,163919,6661.88
2023-07-01,876,347317,193180,6931.36
2023-08-01,888,427799,246353,6953.26
2023-09-01,890,438654,227256,6939.89
2023-10-01,898,435750,228413,6752.21
2023-11-01,902,448917,244214,7080.74
2023-12-01,903,520610,249464,7272.8
2024-01-01,911,373334,224662,7207.94
2024-02-01,921,330240,201744,7316.11
2024-03-01,921,310669,210358,7288.81
